country,iso3,who_region,month_start,month_lab,cases,deaths
Brazil,BRA,AMRO,2023/7/1,2023-07,39,0
Brazil,BRA,AMRO,2023/8/1,2023-08,51,0
Brazil,BRA,AMRO,2023/9/1,2023-09,55,0
Brazil,BRA,AMRO,2023/10/1,2023-10,143,0
Brazil,BRA,AMRO,2023/11/1,2023-11,97,0
Brazil,BRA,AMRO,2023/12/1,2023-12,109,0
Brazil,BRA,AMRO,2024/1/1,2024-01,194,0
Brazil,BRA,AMRO,2024/2/1,2024-02,128,0
Brazil,BRA,AMRO,2024/3/1,2024-03,86,0
Brazil,BRA,AMRO,2024/4/1,2024-04,91,0
Brazil,BRA,AMRO,2024/5/1,2024-05,57,0
Brazil,BRA,AMRO,2024/6/1,2024-06,42,0
Brazil,BRA,AMRO,2024/7/1,2024-07,127,0
Brazil,BRA,AMRO,2024/8/1,2024-08,280,0
Brazil,BRA,AMRO,2024/9/1,2024-09,218,0
Bulgaria,BGR,EURO,2022/6/1,2022-06,3,0
Bulgaria,BGR,EURO,2022/7/1,2022-07,1,0
Bulgaria,BGR,EURO,2022/8/1,2022-08,0,0
Bulgaria,BGR,EURO,2022/9/1,2022-09,2,0
Bulgaria,BGR,EURO,2022/10/1,2022-10,0,0
Bulgaria,BGR,EURO,2022/11/1,2022-11,0,0
Bulgaria,BGR,EURO,2022/12/1,2022-12,0,0
Bulgaria,BGR,EURO,2023/1/1,2023-01,0,0
Bulgaria,BGR,EURO,2023/2/1,2023-02,0,0
Bulgaria,BGR,EURO,2023/3/1,2023-03,0,0
Bulgaria,BGR,EURO,2023/4/1,2023-04,0,0
Bulgaria,BGR,EURO,2023/5/1,2023-05,0,0
Bulgaria,BGR,EURO,2023/6/1,2023-06,0,0
Bulgaria,BGR,EURO,2023/7/1,2023-07,0,0
Bulgaria,BGR,EURO,2023/8/1,2023-08,0,0
Bulgaria,BGR,EURO,2023/9/1,2023-09,0,0
Bulgaria,BGR,EURO,2023/10/1,2023-10,0,0
Bulgaria,BGR,EURO,2023/11/1,2023-11,0,0
Bulgaria,BGR,EURO,2023/12/1,2023-12,0,0
Bulgaria,BGR,EURO,2024/1/1,2024-01,0,0
Bulgaria,BGR,EURO,2024/2/1,2024-02,0,0
Bulgaria,BGR,EURO,2024/3/1,2024-03,0,0
Bulgaria,BGR,EURO,2024/4/1,2024-04,0,0
Bulgaria,BGR,EURO,2024/5/1,2024-05,1,0
Bulgaria,BGR,EURO,2024/6/1,2024-06,0,0
Bulgaria,BGR,EURO,2024/7/1,2024-07,0,0
Bulgaria,BGR,EURO,2024/8/1,2024-08,0,0
Bulgaria,BGR,EURO,2024/9/1,2024-09,0,0
Burundi,BDI,AFRO,2024/7/1,2024-07,9,0
Burundi,BDI,AFRO,2024/8/1,2024-08,222,0
Burundi,BDI,AFRO,2024/9/1,2024-09,622,0
Cambodia,KHM,WPRO,2023/12/1,2023-12,1,0
Cambodia,KHM,WPRO,2024/1/1,2024-01,2,0
Cambodia,KHM,WPRO,2024/2/1,2024-02,10,0
Cameroon,CMR,AFRO,2022/1/1,2022-01,0,0
Cameroon,CMR,AFRO,2022/2/1,2022-02,0,0
Cameroon,CMR,AFRO,2022/3/1,2022-03,3,1
Cameroon,CMR,AFRO,2022/4/1,2022-04,0,0
Cameroon,CMR,AFRO,2022/5/1,2022-05,1,0
Cameroon,CMR,AFRO,2022/6/1,2022-06,2,0
Cameroon,CMR,AFRO,2022/7/1,2022-07,2,0
Cameroon,CMR,AFRO,2022/8/1,2022-08,0,2
Cameroon,CMR,AFRO,2022/9/1,2022-09,2,0
Cameroon,CMR,AFRO,2022/10/1,2022-10,6,0
Cameroon,CMR,AFRO,2022/11/1,2022-11,2,0
Cameroon,CMR,AFRO,2022/12/1,2022-12,0,0
Cameroon,CMR,AFRO,2023/1/1,2023-01,0,0
Cameroon,CMR,AFRO,2023/2/1,2023-02,0,0
Cameroon,CMR,AFRO,2023/3/1,2023-03,0,0
Cameroon,CMR,AFRO,2023/4/1,2023-04,0,0
Cameroon,CMR,AFRO,2023/5/1,2023-05,13,0
Cameroon,CMR,AFRO,2023/6/1,2023-06,10,0
Cameroon,CMR,AFRO,2023/7/1,2023-07,2,0
Cameroon,CMR,AFRO,2023/8/1,2023-08,0,0
Cameroon,CMR,AFRO,2023/9/1,2023-09,1,0
Cameroon,CMR,AFRO,2023/10/1,2023-10,1,0
Cameroon,CMR,AFRO,2023/11/1,2023-11,0,0
Cameroon,CMR,AFRO,2023/12/1,2023-12,0,0
Cameroon,CMR,AFRO,2024/1/1,2024-01,2,1
Cameroon,CMR,AFRO,2024/2/1,2024-02,0,0
Cameroon,CMR,AFRO,2024/3/1,2024-03,0,0
Cameroon,CMR,AFRO,2024/4/1,2024-04,3,1
Cameroon,CMR,AFRO,2024/5/1,2024-05,0,0
Cameroon,CMR,AFRO,2024/6/1,2024-06,0,0
Cameroon,CMR,AFRO,2024/7/1,2024-07,0,0
Cameroon,CMR,AFRO,2024/8/1,2024-08,0,0
Cameroon,CMR,AFRO,2024/9/1,2024-09,1,0
Canada,CAN,AMRO,2022/4/1,2022-04,3,0
Canada,CAN,AMRO,2022/5/1,2022-05,170,0
Canada,CAN,AMRO,2022/6/1,2022-06,386,0
Canada,CAN,AMRO,2022/7/1,2022-07,486,0
Canada,CAN,AMRO,2022/8/1,2022-08,336,0
Canada,CAN,AMRO,2022/9/1,2022-09,64,0
Canada,CAN,AMRO,2022/10/1,2022-10,15,0
Canada,CAN,AMRO,2022/11/1,2022-11,12,0
Canada,CAN,AMRO,2022/12/1,2022-12,4,0
Canada,CAN,AMRO,2023/1/1,2023-01,8,0
Canada,CAN,AMRO,2023/2/1,2023-02,10,0
Canada,CAN,AMRO,2023/3/1,2023-03,5,0
Canada,CAN,AMRO,2023/4/1,2023-04,7,0
Canada,CAN,AMRO,2023/5/1,2023-05,9,0
Canada,CAN,AMRO,2023/6/1,2023-06,4,0
Canada,CAN,AMRO,2023/7/1,2023-07,3,0
Canada,CAN,AMRO,2023/8/1,2023-08,4,0
Canada,CAN,AMRO,2023/9/1,2023-09,6,0
